Date,New Cases,7-Day Moving Avg
Mar 21 2020,1060,865
Mar 20 2020,0,722
Mar 19 2020,1597,722
Mar 18 2020,1683,500
Mar 17 2020,1527,262
Mar 16 2020,75,46
Mar 15 2020,119,36
Mar 14 2020,55,21
Mar 13 2020,0,13
Mar 12 2020,42,13
Mar 11 2020,17,7
Mar 10 2020,19,5
Mar 9 2020,5,2
Mar 8 2020,10,1
Mar 7 2020,0,0
Mar 6 2020,0,0
Mar 5 2020,1,0
Mar 4 2020,0,0
Mar 3 2020,0,0
Mar 2 2020,1,0
Mar 1 2020,0,0
Feb 29 2020,0,0
Feb 28 2020,0,0
Feb 27 2020,0,0
Feb 26 2020,0,0
Feb 25 2020,0,0
Feb 24 2020,0,0
Feb 23 2020,0,0
Feb 22 2020,0,0
Feb 21 2020,0,0
Feb 20 2020,0,0
Feb 19 2020,0,0
Feb 18 2020,0,0
Feb 17 2020,0,0
Feb 16 2020,0,0
Feb 15 2020,0,0
Feb 14 2020,0,0
Feb 13 2020,0,0
Feb 12 2020,0,0
Feb 11 2020,0,0
Feb 10 2020,0,0
Feb 9 2020,0,0
Feb 8 2020,0,0
Feb 7 2020,0,0
Feb 6 2020,0,0
Feb 5 2020,0,0
Feb 4 2020,0,0
Feb 3 2020,0,0
Feb 2 2020,0,0
Feb 1 2020,0,0
Jan 31 2020,0,0
Jan 30 2020,0,0
Jan 29 2020,0,0
Jan 28 2020,0,0
Jan 27 2020,0,0
Jan 26 2020,0,0
Jan 25 2020,0,0
Jan 24 2020,0,0
Jan 23 2020,0,0
Jan 22 2020,0,0
